,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
GH5_38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH5_39,0.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0
GH5_4,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
GH5_41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH5_43,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
GH5_44,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
GH5_45,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
GH5_46,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0
GH5_49,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
GH5_5,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0
GH5_50,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
GH5_51,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH5_52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH5_7,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
GH5_9,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
GH6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
GH64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH65,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0
GH66,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
GH67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH71,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH72,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GH76,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GH77,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
GH78,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
GH79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
